name,description,character,raw_html,role,count
Ace in the Hole,"Lady Luck always seems to be throwing something good your way.
When retrieving an Item  from a Chest , there is a 100 % chance that an Add-on  of Very Rare Rarity or lower will be attached to it.
10/25/50 % chance to find a second Add-on of Uncommon Rarity or lower.
""Everything that glitters isn't gold. But gold isn't worth a damn in this place, so this should come in handy."" — Ace Visconti",Ace,"<p>Lady Luck always seems to be throwing something good your way.
</p><p>When retrieving an <a href=""/Item"" class=""mw-redirect"" title=""Item"">Item</a> <a href=""/Item"" title=""Item""><img alt=""IconHelp items.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_items.png/32px-IconHelp_items.png?version=e3cf3a740248c86c83152aa10cd54409"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_items.png/48px-IconHelp_items.png?version=e3cf3a740248c86c83152aa10cd54409 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_items.png/64px-IconHelp_items.png?version=e3cf3a740248c86c83152aa10cd54409 2x""></a> from a <a href=""/Chest"" class=""mw-redirect"" title=""Chest"">Chest</a> <a href=""/Chest"" title=""Chest""><img alt=""IconHelp chests.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/98/IconHelp_chests.png/32px-IconHelp_chests.png?version=9d5834a607d2865a3a8016276c4bb7e2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/98/IconHelp_chests.png/48px-IconHelp_chests.png?version=9d5834a607d2865a3a8016276c4bb7e2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/98/IconHelp_chests.png/64px-IconHelp_chests.png?version=9d5834a607d2865a3a8016276c4bb7e2 2x""></a>, there is a <b><span style=""color: #e8c252;"">100&nbsp;%</span></b> chance that an <a href=""/Add-on"" class=""mw-redirect"" title=""Add-on"">Add-on</a> <a href=""/Add-on"" title=""Add-on""><img alt=""IconHelp addons.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_addons.png/32px-IconHelp_addons.png?version=c923544f4e0da57fa2fe7e0e0b41de3c"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_addons.png/48px-IconHelp_addons.png?version=c923544f4e0da57fa2fe7e0e0b41de3c 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_addons.png/64px-IconHelp_addons.png?version=c923544f4e0da57fa2fe7e0e0b41de3c 2x""></a> of <b><span style=""color: #ac3ee3;"">Very Rare</span></b> Rarity or lower will be attached to it.
</p><p><span style=""color: #199b1e;""><b>10</b></span>/<span style=""color: #ac3ee3;""><b>25</b></span>/<span style=""color: #ff0955;""><b>50</b></span>&nbsp;% chance to find a second Add-on of <b><span style=""color: #e8c252;"">Uncommon</span></b> Rarity or lower.
</p><p><i><span style=""color: #e3d1b6;"">""Everything that glitters isn't gold. But gold isn't worth a damn in this place, so this should come in handy."" — Ace Visconti</span></i>
</p>",survivor,1
Adrenaline,"You are fuelled by unexpected energy when on the verge of escape.
Instantly heal one Health State and sprint at 150 % of your normal running speed for 5 seconds when the Exit Gates  are powered.
Adrenaline is on hold if you are disabled at the moment it should take effect and will activate when freed. 
Adrenaline will wake you up if you are asleep when it triggers.
Adrenaline ignores Exhaustion.
Causes the Exhausted  Status Effect for 60/50/40 seconds.
You do not recover from Exhaustion while running.",Meg,"<p>You are fuelled by unexpected energy when on the verge of escape.
</p><p><b><span style=""color: #e8c252;"">Instantly heal one Health State</span></b> and sprint at <b><span style=""color: #ff8800;"">150&nbsp;%</span></b> of your normal running speed for <b><span style=""color: #d41c1c;"">5 seconds</span></b> when the <a href=""/Exit_Gates"" title=""Exit Gates"">Exit Gates</a> <a href=""/Exit_Gates"" title=""Exit Gates""><img alt=""IconHelp exitGates.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/32px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/48px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/64px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f 2x""></a> are powered.
</p><p><i>Adrenaline</i> is on hold if you are disabled at the moment it should take effect and will activate when freed. 
</p><p><i>Adrenaline</i> will <b>wake you up</b> if you are asleep when it triggers.
</p><p><i>Adrenaline</i> ignores <b>Exhaustion</b>.
</p><p>Causes the <i><b><a href=""/Exhausted"" class=""mw-redirect"" title=""Exhausted"">Exhausted</a> <a href=""/Exhausted"" title=""Exhausted""><img alt=""IconStatusEffects exhausted.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/32px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/48px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/64px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 2x""></a></b></i> <b>Status Effect</b> for <span style=""color: #199b1e;""><b>60</b></span>/<span style=""color: #ac3ee3;""><b>50</b></span>/<span style=""color: #ff0955;""><b>40</b></span>&nbsp;seconds.
</p><p><i>You do not recover from <b>Exhaustion</b> while running.</i>
</p>",survivor,2
Aftercare,"Unlocks potential in one's Aura-reading ability.
You see the Aura  of every Survivor that:

You rescued from a Hook  or who rescued you from one.
You completed a Healing action on or who completed one on you.
They also see your Aura.
This occurs for up to 1/2/3 Survivor(s).
All effects of Aftercare are reset when you are hooked by the Killer.
""'A Mercy that Rips the Storm.'
Oil work to honour my best buddies who happen to be the best musicians I know. Their first album is still my favourite. It got me through a dark time in my life."" — Jeff, oil on canvas, 16x16",Jeff,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>You see the <a href=""/Aura"" class=""mw-redirect"" title=""Aura"">Aura</a> <a href=""/Aura"" title=""Aura""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> of every Survivor that:
</p>
<ul><li>You rescued from a <a href=""/Hook"" class=""mw-redirect"" title=""Hook"">Hook</a> <a href=""/Hook"" title=""Hook""><img alt=""IconHelpLoading hook.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/4/4f/IconHelpLoading_hook.png/32px-IconHelpLoading_hook.png?version=d05db622b935e6875d875c4f25de48d2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/4/4f/IconHelpLoading_hook.png/48px-IconHelpLoading_hook.png?version=d05db622b935e6875d875c4f25de48d2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/4/4f/IconHelpLoading_hook.png/64px-IconHelpLoading_hook.png?version=d05db622b935e6875d875c4f25de48d2 2x""></a> or who rescued you from one.</li>
<li>You completed a Healing action on or who completed one on you.</li></ul>
<p>They also see your Aura.
</p><p>This occurs for up to <span style=""color: #e8c252;""><b>1</b></span>/<span style=""color: #199b1e;""><b>2</b></span>/<span style=""color: #ac3ee3;""><b>3</b></span>&nbsp;Survivor(s).
</p><p>All effects of <i>Aftercare</i> are reset when you are hooked by the Killer.
</p><p><i><span style=""color: #e3d1b6;"">""'A Mercy that Rips the Storm.'<br>Oil work to honour my best buddies who happen to be the best musicians I know. Their first album is still my favourite. It got me through a dark time in my life."" — Jeff, oil on canvas, 16x16</span></i>
</p>",survivor,3
Alert,"Your acute senses are on high alert.
When the Killer performs a break or damage action, their Aura  is revealed to you for 3/4/5 seconds.
""I have true sight."" — Feng Min",Feng,"<p>Your acute senses are on high alert.
</p><p>When the Killer performs a break or damage action, their <a href=""/Aura"" class=""mw-redirect"" title=""Aura"">Aura</a> <a href=""/Aura"" title=""Aura""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> is revealed to you for <span style=""color: #e8c252;""><b>3</b></span>/<span style=""color: #199b1e;""><b>4</b></span>/<span style=""color: #ac3ee3;""><b>5</b></span>&nbsp;seconds.
</p><p><i><span style=""color: #e3d1b6;"">""I have true sight."" — Feng Min</span></i>
</p>",survivor,4
Any Means Necessary,"You stand up for yourself, using whatever's on hand to gain an advantage.
Press and hold the Active Ability button for 4 seconds while standing beside a dropped Pallet  to reset it to its upright position.
Any Means Necessary has a cool-down of 140/130/120 seconds.
""I'll hit you with everything I've got. Then I'll do it again."" — Yui Kimura",Yui,"<p>You stand up for yourself, using whatever's on hand to gain an advantage.
</p><p>Press and hold the <i>Active Ability button</i> for <b><span style=""color: #e8c252;"">4 seconds</span></b> while standing beside a dropped <a href=""/Pallet"" class=""mw-redirect"" title=""Pallet"">Pallet</a> <a href=""/Pallet"" title=""Pallet""><img alt=""IconHelp pullDown.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/32px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e"" decoding=""async"" width=""32"" height=""25"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/48px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/64px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e 2x""></a> to reset it to its upright position.
</p><p><i>Any Means Necessary</i> has a cool-down of <span style=""color: #ab713c;""><b>140</b></span>/<span style=""color: #e8c252;""><b>130</b></span>/<span style=""color: #199b1e;""><b>120</b></span>&nbsp;seconds.
</p><p><i><span style=""color: #e3d1b6;"">""I'll hit you with everything I've got. Then I'll do it again."" — Yui Kimura</span></i>
</p>",survivor,5
Autodidact,"You start the Trial with a -25 % progression penalty for Skill Checks  to heal Survivors .
For every successful Skill Check completed while healing a Survivor, you receive a Token for a maximum of 3/4/5 Tokens.
Each Token grants you a +15 % bonus progression for a successful Skill Check while healing Survivors.
Great Skill Checks cannot be performed while using Autodidact.
Autodidact is not active when using a Med-Kit  to heal.
""There's no limit to what you can achieve, as long as you back it up with hard work."" — Adam Francis",Adam,"<p>You start the Trial with a <b><span style=""color: #e8c252;"">-25&nbsp;%</span></b> progression penalty for <a href=""/Skill_Checks"" title=""Skill Checks"">Skill Checks</a> <a href=""/Skill_Checks"" title=""Skill Checks""><img alt=""IconHelp skillChecks.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/cc/IconHelp_skillChecks.png/32px-IconHelp_skillChecks.png?version=37bf146684bb79b1fd7724eef75df7f9"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/cc/IconHelp_skillChecks.png/48px-IconHelp_skillChecks.png?version=37bf146684bb79b1fd7724eef75df7f9 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/cc/IconHelp_skillChecks.png/64px-IconHelp_skillChecks.png?version=37bf146684bb79b1fd7724eef75df7f9 2x""></a> to heal <a href=""/Survivors"" title=""Survivors"">Survivors</a> <a href=""/Survivors"" title=""Survivors""><img alt=""IconHelpLoading survivor.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/b/b3/IconHelpLoading_survivor.png/32px-IconHelpLoading_survivor.png?version=f1a1c295139abaf549fd3952018a380f"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/b/b3/IconHelpLoading_survivor.png/48px-IconHelpLoading_survivor.png?version=f1a1c295139abaf549fd3952018a380f 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/b/b3/IconHelpLoading_survivor.png/64px-IconHelpLoading_survivor.png?version=f1a1c295139abaf549fd3952018a380f 2x""></a>.
</p><p>For every successful Skill Check completed while healing a Survivor, you receive a Token for a maximum of <span style=""color: #199b1e;""><b>3</b></span>/<span style=""color: #ac3ee3;""><b>4</b></span>/<span style=""color: #ff0955;""><b>5</b></span>&nbsp;Tokens.
</p><p>Each Token grants you a <b><span style=""color: #d41c1c;"">+15&nbsp;%</span></b> bonus progression for a successful Skill Check while healing Survivors.
</p><p>Great Skill Checks cannot be performed while using <i>Autodidact</i>.
</p><p><i>Autodidact</i> is not active when using a <a href=""/Med-Kit"" class=""mw-redirect"" title=""Med-Kit"">Med-Kit</a> <a href=""/Med-Kit"" title=""Med-Kit""><img alt=""IconItems firstAidKit.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/7a/IconItems_firstAidKit.png/32px-IconItems_firstAidKit.png?version=69fd42d3de50ddd141a367ffdaacb845"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/7a/IconItems_firstAidKit.png/48px-IconItems_firstAidKit.png?version=69fd42d3de50ddd141a367ffdaacb845 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/7a/IconItems_firstAidKit.png/64px-IconItems_firstAidKit.png?version=69fd42d3de50ddd141a367ffdaacb845 2x""></a> to heal.
</p><p><i><span style=""color: #e3d1b6;"">""There's no limit to what you can achieve, as long as you back it up with hard work."" — Adam Francis</span></i>
</p>",survivor,6
Babysitter,"While you have a reputation for being self-centred, you risk it all to help those in need.
When you unhook a Survivor, the unhooked Survivor leaves no Scratch Marks or Blood Trail for the next 4/6/8 seconds.
Both you and the Killer see each other's Aura  for 4 seconds.
""I promised to keep you shitheads safe, and that's exactly what I plan on doing."" — Steve Harrington",Steve,"<p>While you have a reputation for being self-centred, you risk it all to help those in need.
</p><p>When you unhook a Survivor, the unhooked Survivor leaves no Scratch Marks or Blood Trail for the next <span style=""color: #ab713c;""><b>4</b></span>/<span style=""color: #e8c252;""><b>6</b></span>/<span style=""color: #199b1e;""><b>8</b></span>&nbsp;seconds.
</p><p>Both you and the Killer see each other's <a href=""/Aura"" class=""mw-redirect"" title=""Aura"">Aura</a> <a href=""/Aura"" title=""Aura""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> for <b><span style=""color: #ff8800;"">4 seconds</span>.</b>
</p><p><i><span style=""color: #e3d1b6;"">""I promised to keep you shitheads safe, and that's exactly what I plan on doing."" — Steve Harrington</span></i>
</p>",survivor,7
Balanced Landing,"Your agility is incomparable.
Cat-like reflexes reduce your stagger duration from falls by 75 % and muffle your grunts from falling by 100 %.
Upon landing, start sprinting at 150 % of your normal running speed for a maximum of 3 seconds if not exhausted.
Causes the Exhausted  Status Effect for 60/50/40 seconds.
Balanced Landing cannot be used while Exhausted.
You do not recover from Exhaustion while running.
""I've jumped from higher places."" — Nea Karlsson",Nea,"<p>Your agility is incomparable.
</p><p>Cat-like reflexes reduce your stagger duration from falls by <b><span style=""color: #e8c252;"">75&nbsp;%</span></b> and muffle your grunts from falling by <b><span style=""color: #ff8800;"">100&nbsp;%</span></b>.
</p><p>Upon landing, start sprinting at <b><span style=""color: #d41c1c;"">150&nbsp;%</span></b> of your normal running speed for a maximum of <b><span style=""color: #ac3ee3;"">3 seconds</span></b> if not exhausted.
</p><p>Causes the <i><b><a href=""/Exhausted"" class=""mw-redirect"" title=""Exhausted"">Exhausted</a> <a href=""/Exhausted"" title=""Exhausted""><img alt=""IconStatusEffects exhausted.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/32px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/48px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/64px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 2x""></a></b></i> <b>Status Effect</b> for <span style=""color: #ab713c;""><b>60</b></span>/<span style=""color: #e8c252;""><b>50</b></span>/<span style=""color: #199b1e;""><b>40</b></span>&nbsp;seconds.
</p><p><i>Balanced Landing</i> cannot be used while <i><b>Exhausted</b></i>.
</p><p><i>You do not recover from <b>Exhaustion</b> while running.</i>
</p><p><i><span style=""color: #e3d1b6;"">""I've jumped from higher places."" — Nea Karlsson</span></i>
</p>",survivor,8
Better Together,"You seek justice and uncover the truth no matter what obstacle stands in your way.
The Aura  of the Generator you are currently repairing is revealed to all other Survivors located within 32 metres.
If the Killer downs a Survivor while you are repairing a Generator , you see the Auras off all other Survivors for 8/9/10 seconds.
""Let's burn that lab to the ground."" — Nancy Wheeler",Nancy,"<p>You seek justice and uncover the truth no matter what obstacle stands in your way.
</p><p>The <a href=""/Aura"" class=""mw-redirect"" title=""Aura"">Aura</a> <a href=""/Aura"" title=""Aura""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> of the Generator you are currently repairing is revealed to all other Survivors located within <b><span style=""color: #e8c252;"">32 metres</span></b>.
</p><p>If the Killer downs a Survivor while you are repairing a <a href=""/Generator"" class=""mw-redirect"" title=""Generator"">Generator</a> <a href=""/Generator"" title=""Generator""><img alt=""IconHelpLoading generators.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/32px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/48px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/64px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 2x""></a>, you see the Auras off all other Survivors for <span style=""color: #ab713c;""><b>8</b></span>/<span style=""color: #e8c252;""><b>9</b></span>/<span style=""color: #199b1e;""><b>10</b></span>&nbsp;seconds.
</p><p><i><span style=""color: #e3d1b6;"">""Let's burn that lab to the ground."" — Nancy Wheeler</span></i>
</p>",survivor,9
Boil Over,"You are a battler and do everything to escape a foe's grasp.
Your struggling effects on the Killer are increased by 25/50/75 %.
You obscure the Killer's ability to see Hook Auras  within 10/12/14 metres.
""Buck and Wild,
Swing to be free,
Your hands just can't keep ahold of me.""
— Kate Denson's ""Boil Over""",Kate,"<p>You are a battler and do everything to escape a foe's grasp.
</p><p>Your struggling effects on the Killer are increased by <span style=""color: #e8c252;""><b>25</b></span>/<span style=""color: #199b1e;""><b>50</b></span>/<span style=""color: #ac3ee3;""><b>75</b></span>&nbsp;%.
</p><p>You obscure the Killer's ability to see Hook <a href=""/Auras"" title=""Auras"">Auras</a> <a href=""/Auras"" title=""Auras""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> within <span style=""color: #e8c252;""><b>10</b></span>/<span style=""color: #199b1e;""><b>12</b></span>/<span style=""color: #ac3ee3;""><b>14</b></span>&nbsp;metres.
</p><p><i><span style=""color: #e3d1b6;"">""Buck and Wild,<br>Swing to be free,<br>Your hands just can't keep ahold of me.""<br>— Kate Denson's ""Boil Over""</span></i>
</p>",survivor,10
